year,name,price
2019,Nike Air Max 720,180
2019,Nike Air Max 270,150
2019,Nike Air VaporMax 2019,190
2019,Nike Air VaporMax Utility,190
2019,Nike Air Max 720,180
2019,Jordan Proto-Max 720,200
2019,Nike Air VaporMax Flyknit 3,190
2019,Nike Air VaporMax 2019,190
2019,Kyrie 5,130
2019,PG 3,110
2019,LeBron 16 Low,160
2019,Air Jordan 13 Retro,190
2019,Air Jordan 1 Mid SE,120
2019,Jordan Proto-React,150
2019,Nike Epic React Flyknit 2,150
2019,Nike React Element 55,130
2019,Nike ISPA React WR,160
2019,Nike Air VaporMax Plus,190
2019,Nike Air Max 95 Premium,170
2019,Nike Air Max 97 ND,170
2019,Nike Air Max 270,150
2019,Nike Vaporfly 4% Flyknit,250
2019,Nike Zoom Pegasus Turbo,134.97
2019,Air Jordan 9 Retro,190
2019,Air Jordan 4 Retro,190
2019,Nike Air Max 1,110
2019,Nike Air Max 1 Premium By You,150
2019,Nike Air Max 97,135.97
2019,Nike Air Max 97 By You,190
2019,Nike Air Zoom Pegasus 35,120
2019,Nike Metcon 4 XD,130
2019,Nike Zoom Fly Flyknit,160
2019,Nike Odyssey React Flyknit 2,89.97
2019,Nike Air Force 1 '07,90
2019,Nike Air Force 1 Utility,145
2019,Nike Air Force 1 '07 Premium 3,130
2019,Nike Air Force 1 '07 LV8 1,100
2019,Nike Air Max 90 Essential,81.97
2019,Nike Air Max 90 By You,130
2019,Nike Air Max 95 OG,160
2019,Nike Air Max 95 By You,180
2019,Nike Air Max 95 ND,170
2019,Nike Air Max Deluxe,180
2019,Nike Air VaporMax Flyknit 2 Random,200
2019,Nike Air VaporMax Flyknit 2,190
2019,Nike Air Max 98,170
2019,Nike Air Max 98,160
2019,Nike Air Max2 Light,140
2019,Nike Air Tailwind 79,90
2019,Nike Metcon Flyknit 3,150
2019,Nike Free TR 8,100
2019,Nike Air Max 720 SATRN,200
2019,Nike SB Zoom Janoski Mid Crafted,100
2019,Air Jordan XXXIII,175
2019,LeBron 16,185
2019,Kyrie 5 x ROKIT All Star,140
2019,"Jordan ""Why Not?"" Zer0.2 SP",125
2019,Nike SB Air Max Janoski 2,110
2019,Nike SB Air Max Janoski 2 Premium,120
2019,Nike SB Zoom Stefan Janoski Canvas Premium,90
